"","state","year","barrels","type"
"465","PA",2016,55589.65,"On Premises"
"466","PA",2017,69737.43,"On Premises"
"467","PA",2018,78428.55,"On Premises"
"468","PA",2019,89591.8,"On Premises"
"469","RI",2008,940.31,"On Premises"
"470","RI",2009,692.41,"On Premises"
"471","RI",2010,788.29,"On Premises"
"472","RI",2011,901.31,"On Premises"
"473","RI",2012,716.47,"On Premises"
"474","RI",2013,830.8,"On Premises"
"475","RI",2014,987.13,"On Premises"
"476","RI",2015,961.74,"On Premises"
"477","RI",2016,5280.88,"On Premises"
"478","RI",2017,6891.13,"On Premises"
"479","RI",2018,15674.07,"On Premises"
"480","RI",2019,24270.72,"On Premises"
"481","SC",2008,3250.91,"On Premises"
"482","SC",2009,2901.18,"On Premises"
"483","SC",2010,3091.56,"On Premises"
"484","SC",2011,3037.92,"On Premises"
"485","SC",2012,2904.66,"On Premises"
"486","SC",2013,2711.72,"On Premises"
"487","SC",2014,3131.64,"On Premises"
"488","SC",2015,11328.32,"On Premises"
"489","SC",2016,30163.3,"On Premises"
"490","SC",2017,30800.78,"On Premises"
"491","SC",2018,38081.25,"On Premises"
"492","SC",2019,53161.06,"On Premises"
"493","SD",2008,879.82,"On Premises"
"494","SD",2009,860.25,"On Premises"
"495","SD",2010,1186.62,"On Premises"
"496","SD",2011,824.63,"On Premises"
"497","SD",2012,773.45,"On Premises"
"498","SD",2013,909.14,"On Premises"
"499","SD",2014,1336.27,"On Premises"
"500","SD",2015,1731.45,"On Premises"
"501","SD",2016,3217.49,"On Premises"
"502","SD",2017,6582.66,"On Premises"
"503","SD",2018,8928.3,"On Premises"
"504","SD",2019,9386.07,"On Premises"
"505","TN",2008,12092.4,"On Premises"
"506","TN",2009,11977.06,"On Premises"
"507","TN",2010,13633.63,"On Premises"
"508","TN",2011,9702.23,"On Premises"
"509","TN",2012,10103.13,"On Premises"
"510","TN",2013,9965.75,"On Premises"
"511","TN",2014,9220.38,"On Premises"
"512","TN",2015,18757.66,"On Premises"
"513","TN",2016,35673.47,"On Premises"
"514","TN",2017,39494.25,"On Premises"
"515","TN",2018,57029.15,"On Premises"
"516","TN",2019,59753.64,"On Premises"
"517","TX",2008,9670.24,"On Premises"
"518","TX",2009,9814.02,"On Premises"
"519","TX",2010,10556.49,"On Premises"
"520","TX",2011,10299.17,"On Premises"
"521","TX",2012,8503.31,"On Premises"
"522","TX",2013,9242.6,"On Premises"
"523","TX",2014,9471.81,"On Premises"
"524","TX",2015,62757.74,"On Premises"
"525","TX",2016,101466.52,"On Premises"
"526","TX",2017,143879.86,"On Premises"
"527","TX",2018,162547.36,"On Premises"
"528","TX",2019,196218.38,"On Premises"
"529","UT",2008,6446.05,"On Premises"
"530","UT",2009,5941.77,"On Premises"
"531","UT",2010,5226.6,"On Premises"
"532","UT",2011,5238.62,"On Premises"
"533","UT",2012,4595.18,"On Premises"
"534","UT",2013,3953.1,"On Premises"
"535","UT",2014,5875.72,"On Premises"
"536","UT",2015,4302.44,"On Premises"
"537","UT",2016,6283.83,"On Premises"
"538","UT",2017,8391.41,"On Premises"
"539","UT",2018,10153.87,"On Premises"
"540","UT",2019,19578.59,"On Premises"
"541","VA",2008,11976.19,"On Premises"
"542","VA",2009,12379.87,"On Premises"
"543","VA",2010,12732.37,"On Premises"
"544","VA",2011,12098.41,"On Premises"
"545","VA",2012,10414.51,"On Premises"
"546","VA",2013,12450.88,"On Premises"
"547","VA",2014,12352.47,"On Premises"
"548","VA",2015,36003.33,"On Premises"
"549","VA",2016,68666.78,"On Premises"
"550","VA",2017,114900.37,"On Premises"
"551","VA",2018,118672.93,"On Premises"
"552","VA",2019,163800.67,"On Premises"
"553","VT",2008,3486.81,"On Premises"
"554","VT",2009,3587.06,"On Premises"
"555","VT",2010,3661.94,"On Premises"
"556","VT",2011,3263.23,"On Premises"
"557","VT",2012,2216.5,"On Premises"
"558","VT",2013,2563.85,"On Premises"
"559","VT",2014,2692.34,"On Premises"
"560","VT",2015,10792.93,"On Premises"
"561","VT",2016,13299.51,"On Premises"
"562","VT",2017,20568.82,"On Premises"
"563","VT",2018,19980.23,"On Premises"
"564","VT",2019,23530.86,"On Premises"
"565","WA",2008,17195.23,"On Premises"
"566","WA",2009,17651.64,"On Premises"
"567","WA",2010,19965.32,"On Premises"
"568","WA",2011,18205.29,"On Premises"
"569","WA",2012,17362.29,"On Premises"
"570","WA",2013,17770.87,"On Premises"
"571","WA",2014,18066.36,"On Premises"
"572","WA",2015,45357.11,"On Premises"
"573","WA",2016,78538.88,"On Premises"
"574","WA",2017,97744.72,"On Premises"
"575","WA",2018,121733.57,"On Premises"
"576","WA",2019,144277.95,"On Premises"
"577","WI",2008,14919.93,"On Premises"
"578","WI",2009,14700.4,"On Premises"
"579","WI",2010,16669.97,"On Premises"
"580","WI",2011,19882.13,"On Premises"
"581","WI",2012,18853.61,"On Premises"
"582","WI",2013,19250.29,"On Premises"
"583","WI",2014,17885.54,"On Premises"
"584","WI",2015,34649.49,"On Premises"
"585","WI",2016,55487.79,"On Premises"
"586","WI",2017,68905.03,"On Premises"
"587","WI",2018,71830.22,"On Premises"
"588","WI",2019,74567.2,"On Premises"
"589","WV",2008,608.65,"On Premises"
"590","WV",2009,78,"On Premises"
"591","WV",2010,7.16,"On Premises"
"592","WV",2011,0,"On Premises"
"593","WV",2012,14.85,"On Premises"
"594","WV",2013,422.15,"On Premises"
"595","WV",2014,420.5,"On Premises"
"596","WV",2015,3653.33,"On Premises"
"597","WV",2016,6766.41,"On Premises"
"598","WV",2017,8218.02,"On Premises"
"599","WV",2018,7252.5,"On Premises"
"600","WV",2019,8301.94,"On Premises"
"601","WY",2008,2135.61,"On Premises"
"602","WY",2009,2518.9,"On Premises"
"603","WY",2010,2681.61,"On Premises"
"604","WY",2011,3178.55,"On Premises"
"605","WY",2012,3528.21,"On Premises"
"606","WY",2013,3544.63,"On Premises"
"607","WY",2014,3133.63,"On Premises"
"608","WY",2015,5403.2,"On Premises"
"609","WY",2016,14370.22,"On Premises"
"610","WY",2017,27214.46,"On Premises"
"611","WY",2018,15298.08,"On Premises"
"612","WY",2019,12462.54,"On Premises"
"613","total",2008,467148.07,"On Premises"
"614","total",2009,467964.96,"On Premises"
"615","total",2010,513621.9,"On Premises"
"616","total",2011,549067.09,"On Premises"
"617","total",2012,550902.89,"On Premises"
"618","total",2013,574860.64,"On Premises"
"619","total",2014,668284.27,"On Premises"
"620","total",2015,1275921.04,"On Premises"
"621","total",2016,2014125.21,"On Premises"
"622","total",2017,2656897.84,"On Premises"
"623","total",2018,3126137.57,"On Premises"
"624","total",2019,3606540.35,"On Premises"
"625","AK",2008,81218.75,"Bottles and Cans"
"626","AK",2009,89762.16,"Bottles and Cans"
"627","AK",2010,80889.21,"Bottles and Cans"
"628","AK",2011,94781.57,"Bottles and Cans"
"629","AK",2012,105416.32,"Bottles and Cans"
"630","AK",2013,112008.59,"Bottles and Cans"
"631","AK",2014,129181.74,"Bottles and Cans"
"632","AK",2015,126309.22,"Bottles and Cans"
"633","AK",2016,115823.75,"Bottles and Cans"
"634","AK",2017,109652.22,"Bottles and Cans"
"635","AK",2018,100038.94,"Bottles and Cans"
"636","AK",2019,92235.04,"Bottles and Cans"
"637","AL",2008,NA,"Bottles and Cans"
"638","AL",2009,NA,"Bottles and Cans"
"639","AL",2010,NA,"Bottles and Cans"
"640","AL",2011,658.96,"Bottles and Cans"
"641","AL",2012,2485.79,"Bottles and Cans"
"642","AL",2013,6634.43,"Bottles and Cans"
"643","AL",2014,9521.26,"Bottles and Cans"
"644","AL",2015,10543,"Bottles and Cans"
"645","AL",2016,9977.46,"Bottles and Cans"
"646","AL",2017,11797.8,"Bottles and Cans"
"647","AL",2018,14241.33,"Bottles and Cans"
"648","AL",2019,15337.81,"Bottles and Cans"
"649","AR",2008,1206.73,"Bottles and Cans"
"650","AR",2009,1269.26,"Bottles and Cans"
"651","AR",2010,1445.82,"Bottles and Cans"
"652","AR",2011,1382.06,"Bottles and Cans"
"653","AR",2012,8,"Bottles and Cans"
"654","AR",2013,8,"Bottles and Cans"
"655","AR",2014,800.09,"Bottles and Cans"
